GO id;GO term
GO:0030134;C:COPII-coated ER to Golgi transport vesicle
GO:0005783;C:endoplasmic reticulum
GO:0005789;C:endoplasmic reticulum membrane
GO:0005793;C:endoplasmic reticulum-Golgi intermediate compartment
GO:0005794;C:Golgi apparatus
GO:0005798;C:Golgi-associated vesicle
GO:0005739;C:mitochondrion
GO:0006888;P:endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0007030;P:Golgi organization
GO:0006886;P:intracellular protein transport
GO:0006621;P:protein retention in ER lumen
GO:0006900;P:vesicle budding from membrane
