GO id;GO term
GO:0005829;C:cytosol
GO:0005635;C:nuclear envelope
GO:0031965;C:nuclear membrane
GO:0005643;C:nuclear pore
GO:0044613;C:nuclear pore central transport channel
GO:0044615;C:nuclear pore nuclear basket
GO:0005634;C:nucleus
GO:0005543;F:phospholipid binding
GO:0017056;F:structural constituent of nuclear pore
GO:0051276;P:chromosome organization
GO:0006302;P:double-strand break repair
GO:0008298;P:intracellular mRNA localization
GO:0031990;P:mRNA export from nucleus in response to heat stress
GO:0006607;P:NLS-bearing protein import into nucleus
GO:0006913;P:nucleocytoplasmic transport
GO:0016973;P:poly(A)+ mRNA export from nucleus
GO:0000973;P:post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0006611;P:protein export from nucleus
GO:0060188;P:regulation of protein desumoylation
GO:0030466;P:silent mating-type cassette heterochromatin formation
GO:0034398;P:telomere tethering at nuclear periphery
GO:0000972;P:transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
