GO id;GO term
GO:0005935;C:cellular bud neck
GO:0005737;C:cytoplasm
GO:0010494;C:cytoplasmic stress granule
GO:0005856;C:cytoskeleton
GO:0005634;C:nucleus
GO:0005886;C:plasma membrane
GO:0032165;C:prospore septin filament array
GO:0030427;C:site of polarized growth
GO:0005524;F:ATP binding
GO:0004697;F:diacylglycerol-dependent serine/threonine kinase activity
GO:0046872;F:metal ion binding
GO:0106310;F:protein serine kinase activity
GO:0004674;F:protein serine/threonine kinase activity
GO:0032186;P:cellular bud neck septin ring organization
GO:0009272;P:fungal-type cell wall biogenesis
GO:0035556;P:intracellular signal transduction
GO:0000425;P:pexophagy
GO:0016310;P:phosphorylation
GO:0010606;P:positive regulation of cytoplasmic mRNA processing body assembly
GO:0060237;P:regulation of fungal-type cell wall organization
GO:0060211;P:regulation of nuclear-transcribed mRNA poly(A) tail shortening
GO:0007165;P:signal transduction
GO:0034063;P:stress granule assembly
