GO id;GO term
GO:0000329;C:fungal-type vacuole membrane
GO:0000407;C:phagophore assembly site
GO:0034045;C:phagophore assembly site membrane
GO:0034271;C:phosphatidylinositol 3-kinase complex, class III, type I
GO:0120095;C:vacuole-isolation membrane contact site
GO:0006914;P:autophagy
GO:0032258;P:cytoplasm to vacuole transport by the Cvt pathway
GO:0016236;P:macroautophagy
GO:0000425;P:pexophagy
GO:0046854;P:phosphatidylinositol phosphate biosynthetic process
GO:0034727;P:piecemeal microautophagy of the nucleus
GO:0015031;P:protein transport
