GO id;GO term
GO:0005935;C:cellular bud neck
GO:0032174;C:cellular bud neck septin collar
GO:0005737;C:cytoplasm
GO:0000131;C:incipient cellular bud site
GO:0005634;C:nucleus
GO:0005886;C:plasma membrane
GO:0005940;C:septin ring
GO:0005524;F:ATP binding
GO:0070300;F:phosphatidic acid binding
GO:0005546;F:phosphatidylinositol-4,5-bisphosphate binding
GO:0001786;F:phosphatidylserine binding
GO:0004672;F:protein kinase activity
GO:0106310;F:protein serine kinase activity
GO:0004674;F:protein serine/threonine kinase activity
GO:0007117;P:budding cell bud growth
GO:0035556;P:intracellular signal transduction
GO:0044879;P:mitotic morphogenesis checkpoint signaling
GO:0006468;P:protein phosphorylation
GO:0008360;P:regulation of cell shape
GO:0000921;P:septin ring assembly
