GO id;GO term
GO:0005737;C:cytoplasm
GO:0005739;C:mitochondrion
GO:0005524;F:ATP binding
GO:0004672;F:protein kinase activity
GO:0106310;F:protein serine kinase activity
GO:0004674;F:protein serine/threonine kinase activity
GO:0000082;P:G1/S transition of mitotic cell cycle
GO:0030003;P:intracellular monoatomic cation homeostasis
GO:0035556;P:intracellular signal transduction
GO:0016310;P:phosphorylation
GO:0045807;P:positive regulation of endocytosis
GO:0009249;P:protein lipoylation
GO:0008104;P:protein localization
GO:1903329;P:regulation of iron-sulfur cluster assembly
