GO id;GO term
GO:0000785;C:chromatin
GO:0000781;C:chromosome, telomeric region
GO:0033503;C:HULC complex
GO:0005634;C:nucleus
GO:0003688;F:DNA replication origin binding
GO:0042802;F:identical protein binding
GO:0046872;F:metal ion binding
GO:0061630;F:ubiquitin protein ligase activity
GO:0000724;P:double-strand break repair via homologous recombination
GO:0042138;P:meiotic DNA double-strand break formation
GO:0031571;P:mitotic G1 DNA damage checkpoint signaling
GO:0031573;P:mitotic intra-S DNA damage checkpoint signaling
GO:0070534;P:protein K63-linked ubiquitination
GO:0030174;P:regulation of DNA-templated DNA replication initiation
GO:0031509;P:subtelomeric heterochromatin formation
GO:0000722;P:telomere maintenance via recombination
GO:0006366;P:transcription by RNA polymerase II
