GO id;GO term
GO:0005813;C:centrosome
GO:0000785;C:chromatin
GO:0000775;C:chromosome, centromeric region
GO:0005737;C:cytoplasm
GO:0031431;C:Dbf4-dependent protein kinase complex
GO:0005634;C:nucleus
GO:0003688;F:DNA replication origin binding
GO:0043539;F:protein serine/threonine kinase activator activity
GO:0008270;F:zinc ion binding
GO:0051301;P:cell division
GO:0007059;P:chromosome segregation
GO:0006270;P:DNA replication initiation
GO:0033314;P:mitotic DNA replication checkpoint signaling
GO:0001100;P:negative regulation of exit from mitosis
GO:1903468;P:positive regulation of DNA replication initiation
GO:1905561;P:positive regulation of kinetochore assembly
GO:0060903;P:positive regulation of meiosis I
GO:1903343;P:positive regulation of meiotic DNA double-strand break formation
GO:0010571;P:positive regulation of nuclear cell cycle DNA replication
GO:0001934;P:positive regulation of protein phosphorylation
GO:0006279;P:premeiotic DNA replication
GO:1901987;P:regulation of cell cycle phase transition
