GO id;GO term
GO:0005829;C:cytosol
GO:0000502;C:proteasome complex
GO:0008541;C:proteasome regulatory particle, lid subcomplex
GO:0034515;C:proteasome storage granule
GO:0070390;C:transcription export complex 2
GO:0060090;F:molecular adaptor activity
GO:0044183;F:protein folding chaperone
GO:0000724;P:double-strand break repair via homologous recombination
GO:0030447;P:filamentous growth
GO:0035753;P:maintenance of DNA trinucleotide repeats
GO:0006406;P:mRNA export from nucleus
GO:0045944;P:positive regulation of transcription by RNA polymerase II
GO:0043248;P:proteasome assembly
GO:0043161;P:proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0051726;P:regulation of cell cycle
GO:0072742;P:SAGA complex localization to transcription regulatory region
GO:0006511;P:ubiquitin-dependent protein catabolic process
