GO id;GO term
GO:0000781;C:chromosome, telomeric region
GO:0005737;C:cytoplasm
GO:0005635;C:nuclear envelope
GO:0005634;C:nucleus
GO:0030915;C:Smc5-Smc6 complex
GO:0030291;F:protein serine/threonine kinase inhibitor activity
GO:0061665;F:SUMO ligase activity
GO:0019789;F:SUMO transferase activity
GO:0008270;F:zinc ion binding
GO:0140588;P:chromatin looping
GO:1990683;P:DNA double-strand break attachment to nuclear envelope
GO:0006281;P:DNA repair
GO:0000724;P:double-strand break repair via homologous recombination
GO:0016925;P:protein sumoylation
GO:0032204;P:regulation of telomere maintenance
