GO id;GO term
GO:0005829;C:cytosol
GO:0005783;C:endoplasmic reticulum
GO:0005789;C:endoplasmic reticulum membrane
GO:0016020;C:membrane
GO:0030867;C:rough endoplasmic reticulum membrane
GO:0005784;C:Sec61 translocon complex
GO:0071256;C:translocon complex
GO:0005085;F:guanyl-nucleotide exchange factor activity
GO:0008320;F:protein transmembrane transporter activity
GO:0031204;P:post-translational protein targeting to membrane, translocation
GO:0006616;P:SRP-dependent cotranslational protein targeting to membrane, translocation
