GO id;GO term
GO:0005737;C:cytoplasm
GO:0005886;C:plasma membrane
GO:0004190;F:aspartic-type endopeptidase activity
GO:0031593;F:polyubiquitin modification-dependent protein binding
GO:1904855;F:proteasome regulatory particle binding
GO:0030674;F:protein-macromolecule adaptor activity
GO:0000149;F:SNARE binding
GO:0043130;F:ubiquitin binding
GO:0045740;P:positive regulation of DNA replication
GO:0009306;P:protein secretion
GO:0043328;P:protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0006511;P:ubiquitin-dependent protein catabolic process
GO:0016192;P:vesicle-mediated transport
