GO id;GO term
GO:0008278;C:cohesin complex
GO:0030893;C:meiotic cohesin complex
GO:0030892;C:mitotic cohesin complex
GO:0005634;C:nucleus
GO:0005524;F:ATP binding
GO:0016887;F:ATP hydrolysis activity
GO:0003677;F:DNA binding
GO:0000217;F:DNA secondary structure binding
GO:0003690;F:double-stranded DNA binding
GO:0042802;F:identical protein binding
GO:0003680;F:minor groove of adenine-thymine-rich DNA binding
GO:0051301;P:cell division
GO:0006302;P:double-strand break repair
GO:0034089;P:establishment of meiotic sister chromatid cohesion
GO:0034087;P:establishment of mitotic sister chromatid cohesion
GO:0007064;P:mitotic sister chromatid cohesion
GO:0000070;P:mitotic sister chromatid segregation
GO:0007062;P:sister chromatid cohesion
