GO id;GO term
GO:0005801;C:cis-Golgi network
GO:0031410;C:cytoplasmic vesicle
GO:0005829;C:cytosol
GO:0012505;C:endomembrane system
GO:0005789;C:endoplasmic reticulum membrane
GO:0000139;C:Golgi membrane
GO:0005795;C:Golgi stack
GO:0005739;C:mitochondrion
GO:0000407;C:phagophore assembly site
GO:0034045;C:phagophore assembly site membrane
GO:0005525;F:GTP binding
GO:0003924;F:GTPase activity
GO:0000149;F:SNARE binding
GO:0000045;P:autophagosome assembly
GO:0090114;P:COPII-coated vesicle budding
GO:0032258;P:cytoplasm to vacuole transport by the Cvt pathway
GO:0034498;P:early endosome to Golgi transport
GO:0032456;P:endocytic recycling
GO:0006888;P:endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0048194;P:Golgi vesicle budding
GO:0048211;P:Golgi vesicle docking
GO:0006886;P:intracellular protein transport
GO:0016236;P:macroautophagy
GO:1990261;P:pre-mRNA catabolic process
GO:0034497;P:protein localization to phagophore assembly site
GO:1900101;P:regulation of endoplasmic reticulum unfolded protein response
GO:0061709;P:reticulophagy
GO:0006890;P:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum
GO:0035493;P:SNARE complex assembly
GO:0035494;P:SNARE complex disassembly
