GO id;GO term
GO:0010008;C:endosome membrane
GO:0000329;C:fungal-type vacuole membrane
GO:0005739;C:mitochondrion
GO:0070772;C:PAS complex
GO:0000285;F:1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0005524;F:ATP binding
GO:0046872;F:metal ion binding
GO:0032266;F:phosphatidylinositol-3-phosphate binding
GO:1903100;P:1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process
GO:0046854;P:phosphatidylinositol phosphate biosynthetic process
GO:0016310;P:phosphorylation
GO:0010511;P:regulation of phosphatidylinositol biosynthetic process
