GO id;GO term
GO:0000794;C:condensed nuclear chromosome
GO:0000228;C:nuclear chromosome
GO:0005654;C:nucleoplasm
GO:0005524;F:ATP binding
GO:0003682;F:chromatin binding
GO:0003677;F:DNA binding
GO:0045027;F:DNA end binding
GO:0003918;F:DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
GO:0046872;F:metal ion binding
GO:0007129;P:homologous chromosome pairing at meiosis
GO:0042138;P:meiotic DNA double-strand break formation
GO:0000706;P:meiotic DNA double-strand break processing
GO:0007131;P:reciprocal meiotic recombination
GO:0030435;P:sporulation resulting in formation of a cellular spore
GO:0007130;P:synaptonemal complex assembly
