GO id;GO term
GO:0005935;C:cellular bud neck
GO:0000775;C:chromosome, centromeric region
GO:0005737;C:cytoplasm
GO:0044732;C:mitotic spindle pole body
GO:0034399;C:nuclear periphery
GO:0005634;C:nucleus
GO:1902554;C:serine/threonine protein kinase complex
GO:0034973;C:Sid2-Mob1 complex
GO:0005816;C:spindle pole body
GO:0019207;F:kinase regulator activity
GO:0046872;F:metal ion binding
GO:0030295;F:protein kinase activator activity
GO:0051301;P:cell division
GO:0010458;P:exit from mitosis
GO:0000281;P:mitotic cytokinesis
GO:0001934;P:positive regulation of protein phosphorylation
GO:0032465;P:regulation of cytokinesis
GO:0007096;P:regulation of exit from mitosis
GO:0007165;P:signal transduction
