GO id;GO term
GO:0005680;C:anaphase-promoting complex
GO:0005634;C:nucleus
GO:1990948;F:ubiquitin ligase inhibitor activity
GO:0031145;P:anaphase-promoting complex-dependent catabolic process
GO:0051301;P:cell division
GO:1902426;P:deactivation of mitotic spindle assembly checkpoint
GO:0000070;P:mitotic sister chromatid segregation
GO:1905785;P:negative regulation of anaphase-promoting complex-dependent catabolic process
GO:1902499;P:positive regulation of protein autoubiquitination
GO:0016567;P:protein ubiquitination
GO:0007131;P:reciprocal meiotic recombination
GO:0051445;P:regulation of meiotic cell cycle
GO:0007346;P:regulation of mitotic cell cycle
GO:0030071;P:regulation of mitotic metaphase/anaphase transition
