GO id;GO term
GO:0005737;C:cytoplasm
GO:0005637;C:nuclear inner membrane
GO:0005634;C:nucleus
GO:0004113;F:2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
GO:0005524;F:ATP binding
GO:0004519;F:endonuclease activity
GO:0051730;F:GTP-dependent polyribonucleotide 5'-hydroxyl-kinase activity
GO:0003972;F:RNA ligase (ATP) activity
GO:0036498;P:IRE1-mediated unfolded protein response
GO:0016310;P:phosphorylation
GO:0032056;P:positive regulation of translation in response to stress
GO:2000622;P:regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0006388;P:tRNA splicing, via endonucleolytic cleavage and ligation
