GO id;GO term
GO:0000329;C:fungal-type vacuole membrane
GO:1990130;C:GATOR1 complex
GO:0035859;C:Seh1-associated complex
GO:0005774;C:vacuolar membrane
GO:0005096;F:GTPase activator activity
GO:0035556;P:intracellular signal transduction
GO:0051058;P:negative regulation of small GTPase mediated signal transduction
GO:0032007;P:negative regulation of TOR signaling
GO:1904262;P:negative regulation of TORC1 signaling
GO:0010508;P:positive regulation of autophagy
GO:0015031;P:protein transport
GO:2000785;P:regulation of autophagosome assembly
GO:1903432;P:regulation of TORC1 signaling
