GO id;GO term
GO:0005737;C:cytoplasm
GO:0005634;C:nucleus
GO:0003677;F:DNA binding
GO:0001228;F:DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001227;F:DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0000978;F:RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0008270;F:zinc ion binding
GO:0006006;P:glucose metabolic process
GO:0000122;P:negative regulation of transcription by RNA polymerase II
GO:0001080;P:nitrogen catabolite activation of transcription from RNA polymerase II promoter
GO:0045944;P:positive regulation of transcription by RNA polymerase II
