GO id;GO term
GO:0005737;C:cytoplasm
GO:0043332;C:mating projection tip
GO:0005634;C:nucleus
GO:0005886;C:plasma membrane
GO:0005524;F:ATP binding
GO:0004672;F:protein kinase activity
GO:0106310;F:protein serine kinase activity
GO:0004674;F:protein serine/threonine kinase activity
GO:0006869;P:lipid transport
GO:0016310;P:phosphorylation
GO:2000370;P:positive regulation of clathrin-dependent endocytosis
GO:0061092;P:positive regulation of phospholipid translocation
GO:0001932;P:regulation of protein phosphorylation
GO:0000749;P:response to pheromone triggering conjugation with cellular fusion
