GO id;GO term
GO:0000123;C:histone acetyltransferase complex
GO:0033100;C:NuA3 histone acetyltransferase complex
GO:1990467;C:NuA3a histone acetyltransferase complex
GO:0005634;C:nucleus
GO:0046872;F:metal ion binding
GO:0035064;F:methylated histone binding
GO:0006325;P:chromatin organization
GO:0006338;P:chromatin remodeling
GO:0006351;P:DNA-templated transcription
GO:0032968;P:positive regulation of transcription elongation by RNA polymerase II
GO:0006355;P:regulation of DNA-templated transcription
