GO id;GO term
GO:0005634;C:nucleus
GO:0008301;F:DNA binding, bending
GO:0000981;F:DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0051019;F:mitogen-activated protein kinase binding
GO:0046983;F:protein dimerization activity
GO:0000978;F:RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0043565;F:sequence-specific DNA binding
GO:0045944;P:positive regulation of transcription by RNA polymerase II
GO:0060256;P:regulation of flocculation
GO:1903450;P:regulation of G1 to G0 transition
GO:0007165;P:signal transduction
