GO id;GO term
GO:0005743;C:mitochondrial inner membrane
GO:0005758;C:mitochondrial intermembrane space
GO:0031966;C:mitochondrial membrane
GO:0005741;C:mitochondrial outer membrane
GO:0005739;C:mitochondrion
GO:0047184;F:1-acylglycerophosphocholine O-acyltransferase activity
GO:0035965;P:cardiolipin acyl-chain remodeling
GO:0032048;P:cardiolipin metabolic process
GO:0007007;P:inner mitochondrial membrane organization
GO:0042775;P:mitochondrial ATP synthesis coupled electron transport
GO:0097250;P:mitochondrial respirasome assembly
GO:0008654;P:phospholipid biosynthetic process
