SGD.id	SYMBOL	SYSTEMATIC.name	ABUNDANCE.value	ABUNDANCE.units
S000000001	Tfc3p	YAL001C	1809.0	molecules/cell
S000000002	Vps8p	YAL002W	1353.0	molecules/cell
S000000003	Efb1p	YAL003W	67822.0	molecules/cell
S000000004	Ssa1p	YAL005C	255901.0	molecules/cell
S000000005	Erp2p	YAL007C	6821.0	molecules/cell
S000000006	Fun14p	YAL008W	1920.0	molecules/cell
S000000007	Spo7p	YAL009W	1104.0	molecules/cell
S000000008	Mdm10p	YAL010C	1279.0	molecules/cell
S000000009	Swc3p	YAL011W	1122.0	molecules/cell
S000000010	Cys3p	YAL012W	33347.0	molecules/cell
S000000011	Dep1p	YAL013W	2408.0	molecules/cell
S000000012	Syn8p	YAL014C	1672.0	molecules/cell
S000000013	Ntg1p	YAL015C	1154.0	molecules/cell
S000000014	Tpd3p	YAL016W	12016.0	molecules/cell
S000000015	Psk1p	YAL017W	2513.0	molecules/cell
S000000016	Lds1p	YAL018C	""	""
S000000017	Fun30p	YAL019W	3730.0	molecules/cell
S000000018	Ats1p	YAL020C	998.0	molecules/cell
S000000019	Ccr4p	YAL021C	4896.0	molecules/cell
S000000020	Fun26p	YAL022C	1519.0	molecules/cell
S000000021	Pmt2p	YAL023C	5005.0	molecules/cell
S000000022	Lte1p	YAL024C	1573.0	molecules/cell
S000000023	Mak16p	YAL025C	3349.0	molecules/cell
S000000024	Drs2p	YAL026C	3187.0	molecules/cell
S000000025	Saw1p	YAL027W	1170.0	molecules/cell
S000000026	Frt2p	YAL028W	2156.0	molecules/cell
S000000027	Myo4p	YAL029C	3007.0	molecules/cell
S000000028	Snc1p	YAL030W	4895.0	molecules/cell
S000000029	Gip4p	YAL031C	1004.0	molecules/cell
S000000030	Prp45p	YAL032C	1792.0	molecules/cell
S000000031	Pop5p	YAL033W	3479.0	molecules/cell
S000000032	Mtw1p	YAL034W-A	2610.0	molecules/cell
S000000033	Fun12p	YAL035W	25419.0	molecules/cell
S000000034	Rbg1p	YAL036C	8422.0	molecules/cell
S000000035	Yal037Wp	YAL037W	1153.0	molecules/cell
S000000036	Cdc19p	YAL038W	144590.0	molecules/cell
