SYSTEMATIC.name_p1	SYSTEMATIC.name_p2
RP11-125A15.2	YCR033W
RP11-125A15.2	YFL044C
RP11-125A15.2	YDR009W
RP11-125A15.2	YJR036C
RP11-125A15.2	YMR129W
RP11-125A15.2	YPL127C
RP5-875J14.1	YDR386W
RP5-875J14.1	YBR098W
DADB-127H9.2	YKR048C
RP1-130E4.1	YDR176W
RP11-529H20.5	YNL230C
RP11-529H20.5	YPL046C
PIG53	YDL140C
PIG53	YKL020C
RP11-247A12.4	YDR225W
RP11-247A12.4	YPL152W
RP11-27I1.5	YDL007W
RP11-27I1.5	YKL145W
RP11-27I1.5	YIL075C
RP11-27I1.5	YPR108W
RP11-131A5.1	YKL145W
RP11-131A5.1	YHR200W
RP11-131A5.1	YER012W
OK/SW-cl.81	YOL021C
DAAP-218M18.2	YDR059C
OK/SW-cl.3	YMR216C
RP3-422H11.1	YDR432W
KL04P	YDR176W
KL04P	YGR252W
LA16c-358B7.1	YGR140W
LA16c-358B7.1	YMR168C
OK/SW-cl.43	YDL013W
RP1-148E22.1	YDR099W
RP11-269C23.2	YDR383C
RP11-269C23.2	YML008C
RP11-186N15.4	YER025W
MIG1	YOR196C
MIG1	YPR173C
RP11-8N6.1	YGR054W
RP11-554C12.1	YLR306W
RP11-554C12.1	YDL132W
RP11-554C12.1	YDR054C
RP11-730A19.1	YBL078C
DADB-115L1.4	YHR200W
RP24-189I2.1	YOL149W
AD-005	YER068W
RP4-635E18.2	YLL026W
RP4-635E18.2	YLR404W
RP4-635E18.2	YDR067C
RP4-635E18.2	YDR456W
RP4-635E18.2	YGR162W
RP4-635E18.2	YGR178C
RP4-635E18.2	YKL149C
RP4-635E18.2	YKL011C
RP4-635E18.2	YKR029C
RP4-635E18.2	YKR059W
RP4-635E18.2	YOR151C
RP4-635E18.2	YIL133C
RP4-635E18.2	YML062C
RP4-635E18.2	YML009C
RP4-635E18.2	YMR037C
RP4-635E18.2	YNL253W
RP4-635E18.2	YNL139C
RP4-635E18.2	YNL069C
RP4-635E18.2	YNL032W
RP4-635E18.2	YNL001W
RP4-635E18.2	YHR167W
HSPC075	YKL173W
HSPC075	YHR165C
HSPC028	YDR211W
HSPC028	YJR007W
HSPC028	YOR361C
HSPC028	YER025W
PRED28	YDR172W
PRED28	YBR143C
CGI-136	YLR008C
CGI-145	YMR077C
TCCCTA00141	YJL154C
F25D7.1	YBR021W
F25D7.1	YJL002C
CELE_M05D6.5	YLR038C
CELE_M05D6.5	YDL067C
CELE_M05D6.5	YGL187C
CELE_M05D6.5	Q0045
CELE_M05D6.5	Q0250
CELE_M05D6.5	Q0275
CELE_M05D6.5	YIL111W
CELE_M05D6.5	YNL052W
CELE_M05D6.5	YHR051W
CELE_R151.6	YBR021W
CELE_R151.6	YJL002C
CELE_C07A9.3	YPL209C
BOS_7381	YOR112W
BOS_7381	YMR165C
AT2G17200	YHR200W
AT3G16720	YFR010W
AT3G16720	YDR069C
AT3G16720	YBR058C
AT3G16720	YBR082C
AT3G16720	YJR099W
AT3G16720	YIL156W
AT3G16720	YMR304W
AT3G16720	YNL186W
AT3G16720	YPL072W
AT3G16720	YER098W
AT3G16720	YER144C
AT3G01090	YGL115W
AT3G19210	YER095W
AT3G22200	YGR019W
AT3G29160	YGL115W
AT3G52590	YDL140C
AT4G16360	YDR477W
AT5G21170	YDR477W
AT5G44740	YBR088C
AT5G58580	YFR010W
AT5G58580	YDR069C
AT5G58580	YBR058C
AT5G58580	YBR082C
AT5G58580	YMR304W
AT1G05055	YER171W
AT1G27310	YLR293C
AT1G27970	YLR293C
AT1G79650	YHR200W
YCL069W	YCR075C
YCL069W	YDR071C
YCL069W	YDR181C
YCL069W	YBR293W
YCL069W	YJR139C
YCL069W	YOL116W
YCL069W	YOL067C
YCL069W	YOR086C
YCL069W	YOR197W
YCL069W	YIL004C
YCL069W	YMR088C
YCL067C	YCR084C
YCL067C	YCR097W
YCL067C	YLR452C
YCL067C	YBR112C
YCL067C	YJL170C
YCL066W	YCL067C
YCL066W	YDR480W
YCL066W	YPL049C
YCL066W	YHR084W
YCL064C	YCR053W
YCL064C	YLR182W
YCL064C	YLR337C
YCL064C	YLR357W
YCL064C	YLR371W
YCL064C	YDR032C
YCL064C	YDR463W
YCL064C	YGL255W
YCL064C	YGR097W
YCL064C	YOL096C
YCL064C	YOL009C
YCL064C	YOL004W
YCL064C	YIR005W
YCL064C	YNL116W
YCL064C	YNL082W
YCL064C	YNL022C
YCL064C	YPL069C
YCL064C	YHR183W
YCL063W	YFR021W
YCL063W	YLR423C
YCL063W	YGL095C
YCL063W	YJR066W
YCL063W	YOR036W
YCL063W	YOR326W
YCL063W	YHR205W
YCL063W	YEL013W
YCL061C	YCL016C
YCL061C	YCR066W
YCL061C	YCR086W
YCL061C	YLL021W
YCL061C	YLR079W
YCL061C	YLR085C
YCL061C	YLR103C
YCL061C	YLR113W
YCL061C	YLR119W
YCL061C	YLR135W
YCL061C	YLR182W
YCL061C	YLR234W
YCL061C	YLR268W
YCL061C	YLR288C
YCL061C	YLR320W
YCL061C	YLR357W
YCL061C	YLR410W
YCL061C	YLR442C
YCL061C	YAL024C
YCL061C	YAL011W
YCL061C	YAL002W
YCL061C	YAR002W
YCL061C	YAR007C
YCL061C	YDL220C
YCL061C	YDL184C
YCL061C	YDL156W
YCL061C	YDL116W
YCL061C	YDL101C
YCL061C	YDL042C
YCL061C	YDL040C
YCL061C	YDL002C
YCL061C	YDR014W
YCL061C	YDR121W
YCL061C	YDR150W
YCL061C	YDR162C
YCL061C	YDR191W
YCL061C	YDR217C
YCL061C	YDR225W
YCL061C	YDR227W
YCL061C	YDR315C
YCL061C	YDR334W
YCL061C	YDR359C
YCL061C	YDR363W
YCL061C	YDR369C
YCL061C	YDR439W
YCL061C	YDR485C
YCL061C	YDR489W
YCL061C	YDR522C
YCL061C	YBL103C
YCL061C	YBL088C
YCL061C	YBL039C
YCL061C	YBL023C
YCL061C	YBL003C
YCL061C	YBR010W
YCL061C	YBR060C
YCL061C	YBR087W
YCL061C	YBR088C
YCL061C	YBR093C
YCL061C	YBR098W
YCL061C	YBR147W
YCL061C	YBR231C
YCL061C	YBR274W
YCL061C	YBR278W
YCL061C	YGL212W
YCL061C	YGL201C
YCL061C	YGL175C
YCL061C	YGL127C
YCL061C	YGL058W
YCL061C	YGL020C
YCL061C	YGL003C
YCL061C	YGR028W
YCL061C	YGR180C
YCL061C	YGR188C
YCL061C	YGR199W
YCL061C	YJL194W
YCL061C	YJL148W
YCL061C	YJL115W
YCL061C	YJL092W
YCL061C	YJL090C
YCL061C	YJL071W
YCL061C	YJL047C
YCL061C	YJR043C
YCL061C	YKL113C
YCL061C	YKL069W
YCL061C	YKL057C
YCL061C	YKR007W
YCL061C	YKR082W
YCL061C	YOL012C
YCL061C	YOR025W
YCL061C	YOR026W
YCL061C	YOR080W
YCL061C	YOR144C
YCL061C	YOR209C
YCL061C	YOR241W
YCL061C	YOR304W
YCL061C	YOR368W
YCL061C	YIR002C
YCL061C	YML103C
YCL061C	YML097C
YCL061C	YML124C
YCL061C	YML061C
YCL061C	YML058W
YCL061C	YML041C
YCL061C	YML032C
YCL061C	YMR044W
YCL061C	YMR048W
YCL061C	YMR078C
YCL061C	YMR190C
YCL061C	YMR198W
YCL061C	YMR224C
YCL061C	YNL312W
YCL061C	YNL298W
YCL061C	YNL289W
YCL061C	YNL273W
YCL061C	YNL262W
YCL061C	YNL261W
YCL061C	YNL250W
YCL061C	YNL201C
YCL061C	YNL128W
YCL061C	YNL107W
YCL061C	YNL097C
YCL061C	YNL030W
YCL061C	YNR006W
YCL061C	YNR010W
YCL061C	YNR055C
YCL061C	YPL194W
YCL061C	YPL153C
YCL061C	YPL055C
YCL061C	YPL008W
YCL061C	YPR018W
YCL061C	YPR019W
YCL061C	YPR070W
YCL061C	YPR120C
YCL061C	YPR135W
YCL061C	YPR141C
YCL061C	YPR164W
YCL061C	YPR175W
YCL061C	YPR185W
YCL061C	YHR013C
YCL061C	YHR023W
YCL061C	YHR030C
YCL061C	YHR031C
YCL061C	YHR154W
YCL061C	YHR191C
YCL061C	YEL061C
YCL061C	YEL032W
YCL061C	YEL003W
YCL061C	YER016W
YCL061C	YER033C
YCL061C	YER040W
YCL061C	YER070W
YCL061C	YER083C
YCL061C	YER095W
YCL061C	YER161C
YCL061C	YER164W
YCL061C	YER173W
YCL061C	YBR111W-A
YCL059C	YCR031C
YCL059C	YLL011W
YCL059C	YLR129W
YCL059C	YLR175W
YCL059C	YLR186W
YCL059C	YLR192C
YCL059C	YLR197W
YCL059C	YLR222C
YCL059C	YLR340W
YCL059C	YLR409C
YCL059C	YLR435W
YCL059C	YLR441C
YCL059C	YDL166C
YCL059C	YDL148C
YCL059C	YDL014W
YCL059C	YDR025W
YCL059C	YDR064W
YCL059C	YDR299W
YCL059C	YDR324C
YCL059C	YDR393W
YCL059C	YDR449C
YCL059C	YDR496C
YCL059C	YBL087C
YCL059C	YBL072C
YCL059C	YBL004W
YCL059C	YBR031W
YCL059C	YBR048W
YCL059C	YBR247C
YCL059C	YGL201C
YCL059C	YGL171W
YCL059C	YGL103W
YCL059C	YGL078C
YCL059C	YGL030W
YCL059C	YGL029W
YCL059C	YGR054W
YCL059C	YGR072W
YCL059C	YGR090W
YCL059C	YGR100W
YCL059C	YGR145W
YCL059C	YGR214W
YCL059C	YJL190C
YCL059C	YJL109C
YCL059C	YJR002W
YCL059C	YJR123W
YCL059C	YJR145C
YCL059C	YKL009W
YCL059C	YKR057W
YCL059C	YKR059W
YCL059C	YKR060W
YCL059C	YOL127W
YCL059C	YOL023W
YCL059C	YOR096W
YCL059C	YOR229W
YCL059C	YIL079C
YCL059C	YIL019W
YCL059C	YMR080C
YCL059C	YMR093W
YCL059C	YMR116C
YCL059C	YMR128W
YCL059C	YMR229C
YCL059C	YMR290C
YCL059C	YNL308C
YCL059C	YNL178W
YCL059C	YNL135C
YCL059C	YNL132W
YCL059C	YNL073W
YCL059C	YPL217C
YCL059C	YPL198W
YCL059C	YPL126W
YCL059C	YPL012W
YCL059C	YPR102C
YCL059C	YPR137W
YCL059C	YPR144C
YCL059C	YHL033C
YCL059C	YHR077C
YCL059C	YHR148W
YCL059C	YHR203C
YCL059C	YER002W
YCL059C	YER082C
YCL059C	YER102W
YCL059C	YER127W
YCL058C	YDR477W
YCL057C-A	YFR011C
YCL057C-A	YDL085W
YCL057C-A	YDR079W
YCL057C-A	YDR231C
YCL057C-A	YDR316W
YCL057C-A	YDR322C-A
YCL057C-A	YBL099W
YCL057C-A	YBL095W
YCL057C-A	YBR262C
YCL057C-A	YBR282W
YCL057C-A	YGR132C
YCL057C-A	YGR174C
YCL057C-A	YGR231C
YCL057C-A	YGR234W
YCL057C-A	YGR235C
YCL057C-A	YJL161W
YCL057C-A	YJL066C
YCL057C-A	YJR080C
YCL057C-A	YKL150W
YCL057C-A	YKR016W
YCL057C-A	YKR065C
YCL057C-A	YOL027C
YCL057C-A	YOR187W
YCL057C-A	YOR356W
YCL057C-A	YIL136W
YCL057C-A	YML030W
YCL057C-A	YMR145C
YCL057C-A	YNL100W
YCL057C-A	YNL055C
YCL057C-A	YNR018W
YCL057C-A	YPL134C
YCL057C-A	YPR004C
YCL057C-A	YPR020W
YCL057C-A	YHR008C
YCL057C-A	YHR199C
YCL057W	YNL064C
YCL056C	YCR092C
YCL056C	YFR025C
YCL056C	YDL198C
YCL056C	YDL197C
YCL056C	YJR143C
YCL056C	YOL147C
YCL056C	YOR193W
YCL056C	YIL065C
YCL056C	YML125C
YCL056C	YPL112C
YCL055W	YDL116W
YCL055W	YBL103C
YCL055W	YBL088C
YCL055W	YBR057C
YCL055W	YGL192W
YCL055W	YGL036W
YCL055W	YGR188C
YCL055W	YKL109W
YCL055W	YKR028W
YCL055W	YOR001W
YCL055W	YIL153W
YCL055W	YNL288W
YCL055W	YHR084W
YCL054W	YFR001W
YCL054W	YLR002C
YCL054W	YDL031W
YCL054W	YDL014W
YCL054W	YDR060W
YCL054W	YKL172W
YCL054W	YKL143W
YCL054W	YKL082C
YCL054W	YKL009W
YCL054W	YKR081C
YCL054W	YOL041C
YCL054W	YPL146C
YCL054W	YHR088W
YCL052C	YGL167C
YCL052C	YGR281W
YCL052C	YJR106W
YCL052C	YOR265W
YCL052C	YML130C
YCL052C	YML008C
YCL052C	YER083C
YCL051W	YFL034C-B
YCL051W	YFL031W
YCL051W	YFR028C
YCL051W	YDL117W
YCL051W	YBR038W
YCL051W	YBR160W
YCL051W	YMR035W
YCL051W	YNL161W
YCL051W	YNL152W
YCL051W	YPR119W
YCL051W	YHR023W
YCL051W	YHR079C
YCL050C	YJR010W
YCL048W	YLR061W
YCL048W	YDL074C
YCL048W	YBR131W
YCL048W	YGL066W
YCL048W	YKL006W
YCL048W	YOR360C
YCL048W	YIR016W
YCL048W	YML123C
YCL048W	YMR003W
YCL048W	YMR205C
YCL048W	YNL076W
YCL048W	YHR067W
YCL047C	YGR040W
YCL045C	YLR312C
YCL045C	YDL020C
YCL045C	YBR283C
YCL045C	YGL167C
YCL045C	YGL020C
YCL045C	YJL196C
YCL045C	YJR059W
YCL045C	YJR073C
YCL045C	YJR118C
YCL045C	YIL090W
YCL045C	YMR022W
YCL045C	YMR161W
YCL045C	YMR264W
YCL045C	YER083C
YCL044C	YFL001W
YCL044C	YFR011C
YCL044C	YLL001W
YCL044C	YLR085C
YCL044C	YLR090W
YCL044C	YLR170C
YCL044C	YLR395C
YCL044C	YDL216C
YCL044C	YDL182W
YCL044C	YDL229W
YCL044C	YDL142C
YCL044C	YDL112W
YCL044C	YDL036C
YCL044C	YDR058C
YCL044C	YDR123C
YCL044C	YDR217C
YCL044C	YDR312W
YCL044C	YDR334W
YCL044C	YDR392W
YCL044C	YDR512C
YCL044C	YBR036C
YCL044C	YBR103W
YCL044C	YBR194W
