up:P00401	sce:Q0045
up:P03875	sce:Q0050
up:P03876	sce:Q0055
up:P03877	sce:Q0060
up:P03878	sce:Q0065
up:Q9ZZX1	sce:Q0070
up:Q9ZZX0	sce:Q0075
up:P00856	sce:Q0080
up:P00854	sce:Q0085
up:P00163	sce:Q0105
up:P03873	sce:Q0110
up:Q9ZZW7	sce:Q0115
up:P03879	sce:Q0120
up:P61829	sce:Q0130
up:P02381	sce:Q0140
up:P03882	sce:Q0160
up:P00410	sce:Q0250
up:P03881	sce:Q0255
up:P00420	sce:Q0275
up:P34111	sce:YAL001C
up:P39702	sce:YAL002W
up:P32471	sce:YAL003W
up:P10591	sce:YAL005C
up:P39704	sce:YAL007C
up:P18411	sce:YAL008W
up:P18410	sce:YAL009W
up:P18409	sce:YAL010C
up:P31376	sce:YAL011W
up:P31373	sce:YAL012W
up:P31385	sce:YAL013W
up:P31377	sce:YAL014C
up:P31378	sce:YAL015C
up:P31383	sce:YAL016W
up:P31374	sce:YAL017W
up:P31379	sce:YAL018C
up:P31380	sce:YAL019W
up:P31386	sce:YAL020C
up:P31384	sce:YAL021C
up:P31381	sce:YAL022C
up:P31382	sce:YAL023C
up:P07866	sce:YAL024C
up:P10962	sce:YAL025C
up:P39524	sce:YAL026C
up:P39735	sce:YAL027W
up:P39734	sce:YAL028W
up:P32492	sce:YAL029C
up:P31109	sce:YAL030W
up:P39732	sce:YAL031C
up:P28004	sce:YAL032C
up:P28005	sce:YAL033W
up:P28003	sce:YAL034C
up:P39731	sce:YAL034W-A
up:P39730	sce:YAL035W
up:P39729	sce:YAL036C
up:Q3E741	sce:YAL037C-A
up:P39728	sce:YAL037W
up:P00549	sce:YAL038W
up:P06182	sce:YAL039C
up:P13365	sce:YAL040C
up:P11433	sce:YAL041W
up:P39727	sce:YAL042W
up:Q01329	sce:YAL043C
up:P39726	sce:YAL044C
up:Q3E793	sce:YAL044W-A
up:P39724	sce:YAL046C
up:P39723	sce:YAL047C
up:P39722	sce:YAL048C
up:P39721	sce:YAL049C
up:P39720	sce:YAL051W
up:P39719	sce:YAL053W
up:Q01574	sce:YAL054C
up:P39718	sce:YAL055W
up:P39717	sce:YAL056W
up:P27825	sce:YAL058W
up:P39715	sce:YAL059W
up:P39714	sce:YAL060W
up:P39713	sce:YAL061W
up:P39708	sce:YAL062W
up:P39712	sce:YAL063C
up:Q3E791	sce:YAL063C-A
up:Q6B2U8	sce:YAL064C-A
up:P39711	sce:YAL064W
up:O13512	sce:YAL064W-B
up:O13511	sce:YAL065C
up:P39709	sce:YAL067C
up:Q8TGK6	sce:YAL067W-A
up:P0CE93	sce:YAL068C
up:P0CE92	sce:YAL068C
up:Q3E770	sce:YAL068C
up:Q05359	sce:YAR002C-A
up:P39705	sce:YAR002W
up:P39706	sce:YAR003W
up:P22336	sce:YAR007C
up:P39707	sce:YAR008W
up:O13527	sce:YAR009C
up:P0CX57	sce:YAR010C
up:P0CX58	sce:YAR010C
up:P27637	sce:YAR014C
up:P27616	sce:YAR015W
up:P22209	sce:YAR018C
up:P27636	sce:YAR019C
up:P39545	sce:YAR020C
up:D6VPM8	sce:YAR023C
up:P39547	sce:YAR027W
up:P39548	sce:YAR028W
up:P39549	sce:YAR029W
up:P39551	sce:YAR031W
up:P39552	sce:YAR033W
up:Q8TGV0	sce:YAR035C-A
up:P80235	sce:YAR035W
up:P35845	sce:YAR042W
up:P32768	sce:YAR050W
up:P39563	sce:YAR064W
up:P0CX18	sce:YAR066W
up:P0CX19	sce:YAR066W
up:P39564	sce:YAR068W
up:P35842	sce:YAR071W
up:P35195	sce:YBL001C
up:P02294	sce:YBL002W
up:P04912	sce:YBL003C
up:P35194	sce:YBL004W
up:P33200	sce:YBL005W
up:Q12266	sce:YBL005W-A
up:Q12490	sce:YBL005W-B
