PATHWAY.name	SYSTEMATIC.name
2-Oxocarboxylic acid metabolis	YLL039C
2-Oxocarboxylic acid metabolis	YIL148W
2-Oxocarboxylic acid metabolis	YKR094C
2-Oxocarboxylic acid metabolis	YLR167W
2-Oxocarboxylic acid metabolis	YKL210W
2-Oxocarboxylic acid metabolis	YPR180W
2-Oxocarboxylic acid metabolis	YDR390C
2-Oxocarboxylic acid metabolis	YPR066W
2-Oxocarboxylic acid metabolis	YGL058W
2-Oxocarboxylic acid metabolis	YOR339C
2-Oxocarboxylic acid metabolis	YDR059C
2-Oxocarboxylic acid metabolis	YBR082C
2-Oxocarboxylic acid metabolis	YMR022W
2-Oxocarboxylic acid metabolis	YEL012W
2-Oxocarboxylic acid metabolis	YDL064W
2-Oxocarboxylic acid metabolis	YER100W
2-Oxocarboxylic acid metabolis	YDR177W
2-Oxocarboxylic acid metabolis	YLR306W
2-Oxocarboxylic acid metabolis	YDR092W
2-Oxocarboxylic acid metabolis	YDR054C
2-Oxocarboxylic acid metabolis	YGL141W
2-Oxocarboxylic acid metabolis	YKL010C
2-Oxocarboxylic acid metabolis	YER125W
2-Oxocarboxylic acid metabolis	YDR457W
2-Oxocarboxylic acid metabolis	YDL190C
2-Oxocarboxylic acid metabolis	YLL036C
2-Oxocarboxylic acid metabolis	YDR409W
2-Oxocarboxylic acid metabolis	YOL013C
2-Oxocarboxylic acid metabolis	YOL133W
2-Oxocarboxylic acid metabolis	YDL132W
2-Oxocarboxylic acid metabolis	YDR328C
2-Oxocarboxylic acid metabolis	YFL009W
2-Oxocarboxylic acid metabolis	YIL046W
2-Oxocarboxylic acid metabolis	YJR090C
2-Oxocarboxylic acid metabolis	YPL046C
2-Oxocarboxylic acid metabolis	YGR003W
2-Oxocarboxylic acid metabolis	YDR030C
2-Oxocarboxylic acid metabolis	YDL008W
2-Oxocarboxylic acid metabolis	YLR127C
2-Oxocarboxylic acid metabolis	YGL116W
2-Oxocarboxylic acid metabolis	YGL003C
2-Oxocarboxylic acid metabolis	YNL172W
2-Oxocarboxylic acid metabolis	YBL084C
2-Oxocarboxylic acid metabolis	YDR118W
2-Oxocarboxylic acid metabolis	YOR249C
2-Oxocarboxylic acid metabolis	YKL022C
2-Oxocarboxylic acid metabolis	YHR166C
2-Oxocarboxylic acid metabolis	YLR102C
2-Oxocarboxylic acid metabolis	YGL240W
2-Oxocarboxylic acid metabolis	YFR036W
2-Oxocarboxylic acid metabolis	YDR260C
ABC transporters	YPL270W
ABC transporters	YLR188W
ABC transporters	YKL209C
ABC transporters	YMR301C
ABC transporters	YDR135C
ABC transporters	YLL015W
ABC transporters	YGR281W
ABC transporters	YPL147W
ABC transporters	YKL188C
ABC transporters	YCR011C
ABC transporters	YOR153W
ABC transporters	YDR406W
ABC transporters	YOR328W
ABC transporters	YDR011W
ABC transporters	YNR070W
ABC transporters	YPL058C
ABC transporters	YOR011W
ABC transporters	YIL013C
Alanine, aspartate and glutamate metabolism	YLR027C
Alanine, aspartate and glutamate metabolism	YKL106W
Alanine, aspartate and glutamate metabolism	YDR321W
Alanine, aspartate and glutamate metabolism	YLR155C
Alanine, aspartate and glutamate metabolism	YLR157C
Alanine, aspartate and glutamate metabolism	YLR158C
Alanine, aspartate and glutamate metabolism	YLR160C
Alanine, aspartate and glutamate metabolism	YPR145W
