SYSTEMATIC.name	GO.id	GO.term
Q0045	GO:0031966	C:mitochondrial membrane
Q0045	GO:0005751	C:mitochondrial respiratory chain complex IV
Q0045	GO:0005739	C:mitochondrion
Q0045	GO:0004129	F:cytochrome-c oxidase activity
Q0045	GO:0020037	F:heme binding
Q0045	GO:0046872	F:metal ion binding
Q0045	GO:0009060	P:aerobic respiration
Q0045	GO:0045333	P:cellular respiration
Q0045	GO:0015990	P:electron transport coupled proton transport
Q0045	GO:0006123	P:mitochondrial electron transport, cytochrome c to oxygen
Q0050	GO:0005739	C:mitochondrion
Q0050	GO:0003964	F:RNA-directed DNA polymerase activity
Q0050	GO:0006315	P:homing of group II introns
Q0050	GO:0090615	P:mitochondrial mRNA processing
Q0050	GO:0006397	P:mRNA processing
Q0050	GO:0006278	P:RNA-templated DNA biosynthetic process
Q0055	GO:0016020	C:membrane
Q0055	GO:0005739	C:mitochondrion
Q0055	GO:0004129	F:cytochrome-c oxidase activity
Q0055	GO:0020037	F:heme binding
Q0055	GO:0003964	F:RNA-directed DNA polymerase activity
Q0055	GO:0009060	P:aerobic respiration
Q0055	GO:0006315	P:homing of group II introns
Q0055	GO:0006314	P:intron homing
Q0055	GO:0090615	P:mitochondrial mRNA processing
Q0060	GO:0005751	C:mitochondrial respiratory chain complex IV
Q0060	GO:0005739	C:mitochondrion
Q0060	GO:0004129	F:cytochrome-c oxidase activity
Q0060	GO:0004519	F:endonuclease activity
Q0060	GO:0020037	F:heme binding
Q0060	GO:0015990	P:electron transport coupled proton transport
Q0060	GO:0006314	P:intron homing
Q0060	GO:0006123	P:mitochondrial electron transport, cytochrome c to oxygen
Q0060	GO:0006397	P:mRNA processing
Q0060	GO:0008380	P:RNA splicing
Q0065	GO:0005751	C:mitochondrial respiratory chain complex IV
Q0065	GO:0005739	C:mitochondrion
Q0065	GO:0004129	F:cytochrome-c oxidase activity
Q0065	GO:0004519	F:endonuclease activity
Q0065	GO:0020037	F:heme binding
Q0065	GO:0015990	P:electron transport coupled proton transport
Q0065	GO:0006314	P:intron homing
Q0065	GO:0006123	P:mitochondrial electron transport, cytochrome c to oxygen
Q0065	GO:0006397	P:mRNA processing
Q0065	GO:0008380	P:RNA splicing
