Domain type;Domaine Description;Domain begin;Domain end
REPEAT;TPR 1;64;97
REPEAT;TPR 2;313;346
REPEAT;TPR 3;347;380
REPEAT;TPR 4;381;418
REPEAT;TPR 5;419;456
REPEAT;TPR 6;457;490
REPEAT;TPR 7;491;524
REPEAT;TPR 8;525;558
REGION;Disordered;1;24
REGION;Amphipathic helix 1 (AH1);7;29
REGION;Amphipathic helix 2 (AH2);70;104
REGION;Disordered;129;151
REGION;Amphipathic helix 3 (AH3);158;174
REGION;Disordered;182;202
REGION;Amphipathic helix 4 (AH4);257;273
MOTIF;WxxxF/Y motif 1;120;124
MOTIF;WxxxF/Y motif 2;204;208
