GO id;GO term
GO:0000775;C:chromosome, centromeric region
GO:0000781;C:chromosome, telomeric region
GO:0031934;C:mating-type region heterochromatin
GO:0005739;C:mitochondrion
GO:0005634;C:nucleus
GO:0005524;F:ATP binding
GO:0016887;F:ATP hydrolysis activity
GO:0008094;F:ATP-dependent activity, acting on DNA
GO:0140658;F:ATP-dependent chromatin remodeler activity
GO:0003682;F:chromatin binding
GO:0003677;F:DNA binding
GO:0004386;F:helicase activity
GO:0042802;F:identical protein binding
GO:0006338;P:chromatin remodeling
GO:0000729;P:DNA double-strand break processing
GO:0031507;P:heterochromatin formation
GO:0000122;P:negative regulation of transcription by RNA polymerase II
GO:0033120;P:positive regulation of RNA splicing
GO:0000183;P:rDNA heterochromatin formation
GO:0030466;P:silent mating-type cassette heterochromatin formation
GO:0031509;P:subtelomeric heterochromatin formation
