SYSTEMATIC.name	Gene.proteins.secondaryIdentifier	PROTEINS.molecular_weight	PROTEINS.pI	PROTEINS.gravy_score	PROTEINS.aromaticity_score	PROTEINS.cai	PROTEINS.instability_index	PROTEINS.aliphatic_index
Q0010	Q0010	15626.7	4.5	0.92	0.27	0.1	44.54	110.74
Q0017	Q0017	6276.5	10.16	-0.09	0.13	0.1	33.11	87.64
Q0032	Q0032	12477.2	9.68	0.29	0.28	0.07	41.85	73.04
Q0045	Q0045	58795.3	7.12	0.74	0.15	0.14	27.72	111.72
Q0050	Q0050	96146.9	10.44	-0.33	0.09	0.12	30.69	78.81
Q0055	Q0055	98065.2	10.12	-0.23	0.1	0.16	31.17	85.69
Q0060	Q0060	47936.9	9.88	-0.3	0.13	0.12	26.79	82.44
Q0065	Q0065	63336.2	10.14	0.13	0.13	0.12	34.43	93.52
Q0070	Q0070	72191.6	9.86	0.29	0.13	0.12	35.84	98.3
Q0075	Q0075	42297.9	9.84	-0.36	0.16	0.14	47.18	84.33
Q0080	Q0080	5825.3	10.27	1.24	0.21	0.24	52.97	131.08
Q0085	Q0085	29100.1	8.39	1.1	0.15	0.18	29.15	137.83
Q0092	Q0092	5853.4	10.05	0.71	0.22	0.04	47.61	59.97
Q0105	Q0105	43661.2	8.93	0.83	0.17	0.17	43.14	111.84
Q0110	Q0110	49353.2	9.92	0.05	0.14	0.14	34.78	86.89
Q0115	Q0115	61203.1	9.93	0.01	0.16	0.13	40.38	88.98
Q0120	Q0120	74618.0	10.03	-0.02	0.16	0.15	43.48	87.51
Q0130	Q0130	7760.5	8.52	1.45	0.09	0.18	12.28	150.81
Q0140	Q0140	47155.2	10.39	-0.79	0.09	0.09	41.68	81.18
Q0142	Q0142	6870.3	9.83	-0.18	0.09	0.07	57.54	49.15
Q0143	Q0143	5940.0	7.77	0.13	0.14	0.11	62.42	108.85
Q0144	Q0144	14139.4	8.93	0.71	0.29	0.08	47.71	95.67
Q0160	Q0160	27693.6	9.71	-0.38	0.13	0.14	42.26	83.33
Q0182	Q0182	16281.4	10.36	-0.11	0.22	0.06	42.17	57.55
Q0250	Q0250	28550.2	4.2	0.35	0.12	0.19	36.99	107.88
Q0255	Q0255	56445.4	10.08	-0.51	0.14	0.12	41.08	81.51
Q0275	Q0275	30356.9	7.08	0.69	0.15	0.16	31.89	107.33
Q0297	Q0297	5921.2	11.37	-1.21	0.08	0.04	115.08	27.02
R0010W	R0010W	48636.5	9.8	-0.32	0.11	0.1	40.13	82.79
R0020C	R0020C	43224.5	6.38	-0.46	0.11	0.1	39.72	76.05
R0030W	R0030W	21288.9	5.98	-0.16	0.09	0.09	57.07	100.21
R0040C	R0040C	33201.5	9.54	-0.52	0.04	0.11	55.44	82.06
YAL001C	YAL001C	132146.8	9.93	-0.51	0.08	0.12	31.78	83.17
YAL002W	YAL002W	144934.1	5.69	-0.09	0.1	0.13	42.28	98.8
YAL003W	YAL003W	22603.0	4.05	-0.42	0.08	0.76	41.79	72.18
YAL004W	YAL004W	23732.7	5.18	-0.02	0.08	0.19	23.89	97.23
YAL005C	YAL005C	69636.8	4.73	-0.44	0.06	0.71	31.9	78.82
YAL007C	YAL007C	24058.8	4.74	0.15	0.1	0.23	33.28	104.56
YAL008W	YAL008W	22081.7	11.17	0.28	0.1	0.12	33.4	106.6
YAL009W	YAL009W	30130.0	10.61	-0.32	0.12	0.11	51.52	79.54
YAL010C	YAL010C	56236.5	7.34	-0.47	0.11	0.12	35.65	74.95
YAL011W	YAL011W	72531.5	9.79	-1.11	0.05	0.15	60.26	60.54
YAL012W	YAL012W	42535.4	6.52	-0.14	0.07	0.42	30.26	93.53
YAL013W	YAL013W	46938.1	4.32	-1.0	0.06	0.1	58.69	66.89
YAL014C	YAL014C	29034.0	4.42	-0.51	0.04	0.1	46.66	101.37
YAL015C	YAL015C	45579.4	8.18	-0.35	0.07	0.12	49.0	90.93
YAL016C-A	YAL016C-A	11214.9	3.75	0.8	0.1	0.14	41.11	118.92
YAL016C-B	YAL016C-B	7405.6	7.5	0.01	0.2	0.24	47.07	98.11
YAL016W	YAL016W	70873.7	4.31	0.09	0.07	0.18	41.8	111.12
