SYSTEMATIC.name	SYMBOL	DOMAIN.id	DOMAIN.name	DOMAIN.start	DOMAIN.end
YMR056C	AAC1	2136157	Mitochondrial carrier domain superfamily	14	309
YMR056C	AAC1	2138932	Mitochondrial substrate/solute carrier	10	106
YMR056C	AAC1	2138933	Mitochondrial substrate/solute carrier	116	210
YMR056C	AAC1	2138934	Mitochondrial substrate/solute carrier	217	304
YMR056C	AAC1	2138935	Mitochondrial carrier protein	16	29
YMR056C	AAC1	2138936	Mitochondrial carrier protein	29	43
YMR056C	AAC1	2138937	Mitochondrial carrier protein	79	99
YMR056C	AAC1	2138938	Mitochondrial carrier protein	131	149
YMR056C	AAC1	2138939	Mitochondrial carrier protein	181	199
YMR056C	AAC1	2138940	Mitochondrial carrier protein	225	247
YMR056C	AAC1	2138941	ADP/ATP carrier protein, eukaryotic type	13	25
YMR056C	AAC1	2138942	ADP/ATP carrier protein, eukaryotic type	57	78
YMR056C	AAC1	2138943	ADP/ATP carrier protein, eukaryotic type	90	102
YMR056C	AAC1	2138944	ADP/ATP carrier protein, eukaryotic type	116	129
YMR056C	AAC1	2138945	ADP/ATP carrier protein, eukaryotic type	221	237
YMR056C	AAC1	2138946	Mitochondrial substrate/solute carrier	11	104
YMR056C	AAC1	2138947	Mitochondrial substrate/solute carrier	116	208
YMR056C	AAC1	2138948	Mitochondrial substrate/solute carrier	216	302
YMR056C	AAC1	2138949	Mitochondrial carrier domain superfamily	12	299
YMR056C	AAC1	2171295	ADP/ATP carrier protein, eukaryotic type	8	308
YMR056C	AAC1	2171296	ADP/ATP carrier	14	309
YBR085W	AAC3	2127707	ADP/ATP carrier protein, eukaryotic type	5	306
YBR085W	AAC3	2127708	Mitochondrial carrier domain superfamily	4	307
YBR085W	AAC3	2142672	Mitochondrial substrate/solute carrier	9	105
YBR085W	AAC3	2142673	Mitochondrial substrate/solute carrier	115	208
YBR085W	AAC3	2142674	Mitochondrial substrate/solute carrier	215	303
YBR085W	AAC3	2142675	Mitochondrial carrier protein	15	28
YBR085W	AAC3	2142676	Mitochondrial carrier protein	28	42
YBR085W	AAC3	2142677	Mitochondrial carrier protein	78	98
YBR085W	AAC3	2142678	Mitochondrial carrier protein	129	147
YBR085W	AAC3	2142679	Mitochondrial carrier protein	179	197
YBR085W	AAC3	2142680	Mitochondrial carrier protein	223	245
YBR085W	AAC3	2142681	ADP/ATP carrier protein, eukaryotic type	12	24
YBR085W	AAC3	2142682	ADP/ATP carrier protein, eukaryotic type	56	77
YBR085W	AAC3	2142683	ADP/ATP carrier protein, eukaryotic type	89	101
YBR085W	AAC3	2142684	ADP/ATP carrier protein, eukaryotic type	114	127
YBR085W	AAC3	2142685	ADP/ATP carrier protein, eukaryotic type	219	235
YBR085W	AAC3	2142686	Mitochondrial substrate/solute carrier	10	103
YBR085W	AAC3	2142687	Mitochondrial substrate/solute carrier	114	206
YBR085W	AAC3	2142688	Mitochondrial substrate/solute carrier	214	300
YBR085W	AAC3	2142689	Mitochondrial carrier domain superfamily	9	297
YBR085W	AAC3	2163433	ADP,ATP carrier protein, mitochondrial	13	307
YJR155W	AAD10	2134905	NADP-dependent oxidoreductase domain superfamily	1	275
YJR155W	AAD10	2134906	NADP-dependent oxidoreductase domain	4	252
YJR155W	AAD10	2154875	NADP-dependent oxidoreductase domain superfamily	4	253
YJR155W	AAD10	2168968	NADH-SPECIFIC METHYLGLYOXAL REDUCTASE-RELATED	3	262
YJR155W	AAD10	2168969	Aryl-alcohol dehydrogenase	1	275
YNL331C	AAD14	2136698	NADP-dependent oxidoreductase domain superfamily	19	361
YNL331C	AAD14	2136699	NADP-dependent oxidoreductase domain	31	340
YNL331C	AAD14	2153757	NADP-dependent oxidoreductase domain superfamily	25	341
YNL331C	AAD14	2171902	NADH-SPECIFIC METHYLGLYOXAL REDUCTASE-RELATED	19	350
YNL331C	AAD14	2171903	AKR_AKR9A3_9B1-4	20	338
YNL331C	AAD14	2171904	Aryl-alcohol dehydrogenase	19	363
YOL165C	AAD15	2136949	NADP-dependent oxidoreductase domain	1	117
YOL165C	AAD15	2136950	NADP-dependent oxidoreductase domain superfamily	2	117
YOL165C	AAD15	2136951	NADP-dependent oxidoreductase domain superfamily	1	122
YOL165C	AAD15	2175681	NADH-SPECIFIC METHYLGLYOXAL REDUCTASE-RELATED	1	127
YCR107W	AAD3	2132646	NADP-dependent oxidoreductase domain	29	337
YCR107W	AAD3	2132647	NADP-dependent oxidoreductase domain superfamily	19	361
YCR107W	AAD3	2144740	NADP-dependent oxidoreductase domain superfamily	24	338
YCR107W	AAD3	2164088	AKR_AKR9A3_9B1-4	17	335
YCR107W	AAD3	2164089	NADH-SPECIFIC METHYLGLYOXAL REDUCTASE-RELATED	20	347
YCR107W	AAD3	2164090	Aryl-alcohol dehydrogenase	16	358
YDL243C	AAD4	2128132	NADP-dependent oxidoreductase domain superfamily	1	316
YDL243C	AAD4	2160546	NADP-dependent oxidoreductase domain	3	295
YDL243C	AAD4	2160547	NADP-dependent oxidoreductase domain superfamily	3	294
YDL243C	AAD4	2164069	AKR_AKR9A3_9B1-4	1	292
YDL243C	AAD4	2164070	NADH-SPECIFIC METHYLGLYOXAL REDUCTASE-RELATED	4	304
YDL243C	AAD4	2164071	Aryl-alcohol dehydrogenase	1	316
YNL141W	AAH1	2136488	-	2	346
YNL141W	AAH1	2136489	Adenosine deaminase domain	11	340
YNL141W	AAH1	2156894	Adenine deaminase type 2	6	327
YNL141W	AAH1	2156895	Adenosine/AMP deaminase active site	281	287
YNL141W	AAH1	2156896	Adenosine/adenine deaminase	4	346
YNL141W	AAH1	2156897	Metal-dependent hydrolase	4	341
YNL141W	AAH1	2156898	Adenosine/adenine deaminase	10	338
YNL141W	AAH1	2172304	Adenosine/adenine deaminase	9	338
YNL141W	AAH1	2172305	Adenine deaminase	1	346
YHR047C	AAP1	2129371	Peptidase M1, membrane alanine aminopeptidase	228	445
YHR047C	AAP1	2129372	-	451	532
YHR047C	AAP1	2129373	Aminopeptidase N-like , N-terminal domain	12	194
YHR047C	AAP1	2134582	-	534	853
YHR047C	AAP1	2134583	Peptidase M4/M1, CTD superfamily	205	450
YHR047C	AAP1	2134584	Aminopeptidase N-like , N-terminal domain superfamliy	2	201
YHR047C	AAP1	2149017	ERAP1-like C-terminal domain	517	832
YHR047C	AAP1	2149018	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase	137	152
YHR047C	AAP1	2149019	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase	184	199
YHR047C	AAP1	2149020	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase	261	271
YHR047C	AAP1	2149021	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase	297	312
YHR047C	AAP1	2149022	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase	316	328
YHR047C	AAP1	2149023	Metalloproteases ("zincins"), catalytic domain	210	456
YHR047C	AAP1	2149024	Aminopeptidase N-like , N-terminal domain superfamliy	5	201
YHR047C	AAP1	2167756	Aminopeptidase	1	202
YHR047C	AAP1	2167757	Aminopeptidase	204	450
YHR047C	AAP1	2167758	PROTEASE M1 ZINC METALLOPROTEASE	6	842
YHR047C	AAP1	2167759	Aminopeptidase	535	852
YHR047C	AAP1	2167760	Aminopeptidase N-type	13	447
YHR047C	AAP1	2167761	Aminopeptidase	451	532
YBL074C	AAR2	2127624	A1 cistron-splicing factor, AAR2	6	303
YBL074C	AAR2	2127625	AAR2, N-terminal domain superfamily	1	143
YBL074C	AAR2	2132540	AAR2, C-terminal domain superfamily	157	355
YBL074C	AAR2	2145981	A1 cistron-splicing factor, AAR2	3	347
YBL074C	AAR2	2174739	AAR2, N-terminal	3	129
YBL074C	AAR2	2174740	AAR2, C-terminal	175	313
YKL106W	AAT1	2135457	Pyridoxal phosphate-dependent transferase, small domain	23	441
YKL106W	AAT1	2135458	Pyridoxal phosphate-dependent transferase, major domain	81	353
YKL106W	AAT1	2157637	Aminotransferase, class I/classII	45	441
YKL106W	AAT1	2157638	Aspartate/other aminotransferase	208	227
YKL106W	AAT1	2157639	Aspartate/other aminotransferase	239	251
YKL106W	AAT1	2157640	Aspartate/other aminotransferase	326	351
YKL106W	AAT1	2157641	Aspartate/other aminotransferase	390	408
YKL106W	AAT1	2157642	Aminotransferases, class-I, pyridoxal-phosphate-binding site	283	296
YKL106W	AAT1	2157643	Pyridoxal phosphate-dependent transferase	17	444
YKL106W	AAT1	2169212	AAT_like	47	443
YKL106W	AAT1	2169213	Aspartate/other aminotransferase	17	444
YKL106W	AAT1	2169214	Aspartate aminotransferase	81	353
YLR027C	AAT2	2130104	Pyridoxal phosphate-dependent transferase, major domain	49	328
YLR027C	AAT2	2135620	Pyridoxal phosphate-dependent transferase, small domain	15	407
